,outcome,sumfg,sumfg3,sumft,sumorb,sumast,sumpts,sumdrb,sumstl,sumblk,Offensive Effort,Defensive Effort
0,1,69,20,31,17,44,189,61,11,7,1,1
1,0,67,23,29,17,39,186,60,8,12,0,0
2,0,43,19,17,16,30,122,37,4,9,0,0
3,1,76,25,48,29,40,225,75,11,6,1,1
4,0,64,20,16,10,25,164,49,13,10,1,1
5,1,46,13,22,12,23,127,40,9,4,0,0
6,0,49,9,18,20,25,125,29,11,4,1,0
7,1,45,23,13,9,28,126,32,3,4,0,0
8,1,65,21,52,9,31,203,78,10,10,1,1
9,0,37,11,15,11,26,100,36,6,3,0,0
10,1,41,11,26,10,26,119,35,5,6,0,0
11,0,58,12,30,12,45,158,32,12,9,1,1
12,0,38,5,20,9,22,101,31,9,7,0,0
13,1,66,12,54,16,29,198,61,15,10,1,1
14,0,33,9,10,10,20,85,44,8,2,0,0
15,1,54,13,11,8,34,132,45,17,5,1,1
16,0,55,13,31,13,31,154,57,7,2,0,0
17,1,58,13,43,17,36,172,80,12,11,1,1
18,1,49,11,15,9,31,124,35,13,9,1,1
19,0,34,10,17,12,17,95,35,5,5,0,0
20,1,53,29,30,17,40,165,53,19,7,1,1
21,0,49,9,28,20,16,135,54,12,6,0,0
22,0,44,10,13,5,24,111,34,16,1,1,0
23,1,42,7,29,10,22,120,41,6,5,0,1
24,0,62,19,41,10,24,184,69,9,8,0,1
25,1,69,10,17,16,24,165,57,6,6,0,0
26,1,44,11,18,8,27,117,34,9,2,1,1
27,0,35,10,20,9,20,100,30,6,5,0,0
28,0,39,15,29,15,27,122,27,7,0,0,0
29,1,80,33,36,3,57,229,53,13,6,1,1
30,0,54,29,48,15,43,185,66,9,8,0,0
31,1,84,29,16,12,51,213,90,12,15,0,1
32,1,73,24,25,34,38,195,60,16,11,1,1
33,0,58,29,25,10,36,170,70,3,8,0,0
34,1,51,24,27,14,28,153,44,17,2,1,1
35,0,38,17,16,9,17,109,30,14,4,0,0
36,0,37,12,13,9,26,99,33,6,5,0,0
37,1,43,12,23,13,30,121,39,11,6,1,1
38,1,56,11,48,11,27,171,61,11,19,1,1
39,0,34,8,31,10,25,107,44,5,1,0,0
40,1,60,11,35,18,38,166,53,25,17,1,1
41,0,47,14,34,3,30,142,55,12,4,0,0
42,1,40,12,18,9,18,110,36,14,7,1,1
43,0,39,10,14,15,24,102,41,8,6,0,0
44,1,83,26,38,20,44,230,70,16,14,1,1
45,0,45,15,11,12,30,116,36,6,3,0,0
46,0,59,10,26,10,25,154,70,12,10,1,1
47,1,39,11,8,8,21,97,39,9,6,0,0
48,1,71,15,26,7,29,183,50,12,6,1,1
49,0,37,15,23,13,17,112,30,10,2,0,0
50,1,43,9,8,9,22,103,43,5,9,0,1
51,0,48,9,37,19,21,142,37,9,7,1,0
52,0,29,9,17,12,18,84,33,9,2,0,0
53,1,64,26,33,18,46,187,86,17,20,1,1
54,1,40,11,19,12,23,110,32,9,7,0,0
55,0,67,17,15,9,41,166,43,12,5,1,1
56,0,41,8,21,5,20,111,30,11,7,0,0
57,1,76,26,34,11,49,212,58,21,6,1,1
58,1,70,25,44,14,36,209,54,11,6,1,1
59,0,46,18,13,9,27,123,33,9,2,0,0
60,1,80,26,44,10,54,230,74,11,6,0,0
61,0,75,31,48,10,39,229,74,15,6,0,0
62,1,69,23,35,21,41,196,55,24,17,1,1
63,0,31,7,26,16,15,95,39,7,4,0,0
64,0,69,22,47,15,38,207,53,13,6,1,1
65,1,43,17,27,9,32,130,40,9,3,0,0
66,1,50,10,14,21,29,124,32,6,7,1,0
67,0,47,16,12,8,30,122,33,3,8,0,1
68,0,30,7,14,6,16,81,25,5,3,0,0
69,1,64,26,11,3,44,165,56,11,1,1,1
70,0,73,25,63,24,52,234,66,14,6,1,0
71,1,63,11,32,10,19,169,66,9,6,0,0
72,0,35,10,21,13,19,101,32,7,4,0,0
73,1,87,21,22,18,59,217,70,11,16,1,1
74,0,62,21,36,13,37,181,50,8,6,1,0
75,1,50,14,20,8,33,134,41,9,10,0,1
76,0,73,27,16,9,41,189,57,13,14,1,1
77,1,39,13,25,14,24,116,32,12,1,0,0
78,0,30,5,27,12,17,92,27,13,2,0,0
79,1,75,29,31,10,39,210,70,12,10,1,1
80,0,36,9,22,8,23,103,37,12,3,0,0
81,1,55,19,29,19,32,158,57,20,20,1,1
82,1,37,13,9,9,21,96,39,2,3,0,0
83,0,60,10,15,16,46,145,52,22,7,1,1
84,1,62,20,52,11,31,196,48,9,9,0,0
85,0,72,22,30,28,36,196,59,13,4,1,1
86,0,36,14,10,9,24,96,29,5,3,0,0
87,1,67,23,34,12,43,191,58,19,11,1,1
88,0,45,12,10,10,19,112,38,2,3,0,0
89,1,83,30,25,14,53,221,72,13,10,1,1
90,1,51,14,18,19,37,134,42,8,2,1,0
91,0,48,15,12,11,36,123,30,13,7,0,1
92,0,36,9,17,8,19,98,30,6,5,0,0
93,1,38,9,20,25,19,105,38,3,6,1,1
94,0,33,13,16,3,23,95,37,7,3,0,0
95,1,42,15,40,8,34,139,60,11,7,1,1
96,1,59,16,32,31,31,166,52,10,8,1,1
97,0,36,12,10,15,25,94,33,6,8,0,0
98,0,60,15,28,11,27,163,56,6,9,1,1
99,1,41,7,24,7,25,113,43,5,9,0,0
100,0,51,15,20,9,30,137,48,10,6,0,0
101,1,55,16,44,9,31,170,77,16,4,1,1
102,1,77,26,23,18,50,203,58,12,10,1,1
103,0,68,19,15,22,33,170,55,8,2,0,0
104,1,68,12,65,19,47,213,74,16,15,1,1
105,0,31,7,22,13,20,91,33,10,3,0,0
106,0,35,11,16,9,28,97,24,14,7,0,0
107,1,63,25,66,19,32,217,56,17,9,1,1
108,1,69,29,20,8,40,187,63,8,6,1,0
109,0,68,24,25,7,38,185,73,5,6,0,0
110,0,54,15,19,24,25,142,43,7,5,0,0
111,1,64,15,29,14,43,172,49,16,2,1,1
112,0,39,14,19,9,25,111,23,6,5,0,0
113,1,41,10,25,10,25,117,37,3,7,1,1
114,0,36,8,30,7,24,110,36,8,6,0,1
115,1,44,15,18,13,33,121,32,12,4,1,0
116,0,60,8,53,25,28,181,81,15,4,1,1
117,1,49,23,24,14,23,145,60,12,11,0,0
118,0,31,7,14,10,19,83,34,1,10,0,0
119,1,46,14,12,15,30,118,42,7,6,1,1
120,0,32,10,21,6,12,95,28,13,6,0,0
121,1,68,17,36,25,38,189,68,23,8,1,1
122,1,46,16,10,10,30,118,36,8,3,1,0
123,0,44,14,9,10,26,111,29,11,5,0,1
124,0,41,14,17,11,30,113,31,5,1,0,0
125,1,84,22,16,5,48,206,49,19,4,1,1
126,0,64,15,20,10,32,163,48,6,5,1,0
127,1,62,13,15,3,38,152,47,18,6,0,1
128,1,92,43,47,26,52,274,36,17,6,1,1
129,0,57,20,24,11,31,158,29,6,4,0,0
130,0,36,7,18,16,20,97,34,5,5,0,0
131,1,69,24,22,13,53,184,53,22,14,1,1
132,1,64,10,30,20,31,168,62,16,1,1,1
133,0,36,7,18,9,15,97,40,6,5,0,0
134,0,73,10,25,10,32,181,51,8,6,1,1
135,1,41,15,25,2,30,122,35,7,4,0,0
136,1,56,19,39,5,37,170,69,13,4,1,1
137,0,37,14,14,16,22,102,35,9,4,0,0
138,1,61,27,30,15,35,179,61,14,9,0,1
139,0,65,23,42,18,34,195,51,21,7,1,0
140,1,39,16,18,11,29,112,31,6,1,1,0
141,0,41,6,18,10,21,106,37,11,8,0,1
142,0,72,27,28,30,43,199,79,10,2,0,0
143,1,88,17,32,10,45,225,65,20,13,1,1
144,0,39,13,19,7,25,110,32,4,2,0,0
145,1,44,13,26,16,23,127,36,4,2,1,0
146,0,32,11,20,3,20,95,42,9,1,0,0
147,1,59,8,29,17,34,155,59,11,13,1,1
148,1,85,29,24,18,42,223,87,20,7,1,1
149,0,48,18,15,14,26,129,42,11,3,0,0
150,1,41,8,12,11,15,102,27,8,3,0,0
151,0,52,14,25,6,29,143,39,17,6,1,1
152,0,58,14,15,14,28,145,50,6,4,1,0
153,1,41,8,23,5,21,113,36,8,7,0,1
154,1,36,5,16,16,18,93,32,6,1,1,0
155,0,34,9,10,5,23,87,35,5,5,0,1
156,0,42,9,12,13,26,105,33,9,8,0,1
157,1,44,14,12,4,26,114,28,9,2,0,0
158,1,74,22,36,19,53,206,75,8,13,1,1
159,0,54,25,30,13,41,163,63,10,7,0,0
160,0,40,11,13,17,25,104,39,7,5,0,0
161,1,75,30,33,15,38,213,64,15,21,1,1
162,1,42,12,50,14,26,146,58,14,5,1,1
163,0,50,9,8,11,33,117,45,13,8,0,0
164,1,99,21,14,22,63,233,52,17,16,1,1
165,0,59,24,26,6,28,168,47,9,5,0,0
166,1,51,17,12,3,33,131,44,9,10,1,1
167,0,37,12,23,8,21,109,31,11,4,0,0
168,0,39,18,15,12,24,111,29,9,4,0,0
169,1,83,37,21,18,61,224,70,9,12,1,1
170,0,36,9,14,6,27,95,36,8,2,0,0
171,1,66,12,30,14,45,174,57,9,12,1,1
172,1,60,14,44,27,26,178,60,12,10,1,1
173,0,45,17,32,7,27,139,43,7,8,0,0
174,0,54,26,44,8,29,178,49,8,8,0,0
175,1,75,33,27,9,69,210,65,24,11,1,1
176,0,32,8,20,9,18,92,29,6,5,0,0
177,1,41,15,16,10,25,113,40,7,5,1,1
178,1,76,11,24,14,41,187,72,14,18,1,1
179,0,33,6,24,8,23,96,39,11,4,0,0
180,1,69,27,25,17,45,190,42,16,4,1,0
181,0,48,13,16,10,18,125,29,16,5,0,0
182,1,42,10,33,8,28,127,39,4,4,0,0
183,0,72,19,16,22,24,179,42,9,8,1,1
184,1,64,33,40,20,36,201,65,11,9,1,1
185,0,40,3,17,13,19,100,38,13,7,0,0
186,1,93,26,37,19,42,249,87,15,8,1,1
187,0,37,13,19,13,20,106,34,12,4,0,0
188,0,81,26,21,17,36,209,53,15,4,1,1
189,1,41,11,21,5,24,114,35,6,5,0,0
190,0,34,13,18,13,21,99,29,4,9,0,1
191,1,43,8,21,13,27,115,28,9,7,1,0
192,1,43,11,11,9,22,108,39,9,5,1,0
193,0,38,8,16,11,18,100,30,9,8,0,0
194,0,43,14,12,7,22,112,35,11,4,0,0
195,1,85,21,32,21,46,223,69,19,18,1,1
196,1,42,10,28,10,22,122,27,7,4,0,0
197,0,89,20,12,9,43,210,54,7,9,1,1
198,1,83,18,18,5,41,202,64,8,15,1,1
199,0,40,13,20,11,22,113,32,3,6,0,0
200,1,75,14,16,17,52,180,58,17,3,1,0
201,0,50,13,30,22,42,143,49,19,8,0,1
202,1,67,23,31,10,36,188,54,18,9,1,1
203,0,39,4,35,19,22,117,45,8,9,0,0
204,0,30,6,27,6,18,93,35,7,3,0,0
205,1,41,13,18,7,26,113,36,11,9,1,1
206,1,64,19,44,19,34,191,57,6,2,1,0
207,0,48,7,28,12,28,131,41,17,10,0,1
208,1,44,15,19,8,37,122,35,7,1,1,0
209,0,39,11,13,5,24,102,25,9,4,0,1
210,0,38,13,23,16,22,112,35,7,1,0,0
211,1,78,41,22,17,52,219,58,11,12,1,1
212,1,74,20,30,20,61,198,54,14,5,1,1
213,0,37,13,19,16,24,106,32,3,3,0,0
214,0,65,26,47,19,36,203,68,6,4,0,0
215,1,68,30,50,23,33,216,67,12,15,1,1
216,1,50,12,25,8,34,137,41,4,3,1,0
217,0,43,16,19,10,29,121,26,9,7,0,1
218,0,42,20,16,12,23,120,31,8,7,0,0
219,1,69,22,43,4,48,203,62,16,8,1,1
220,0,58,15,44,10,35,175,56,17,4,1,1
221,1,58,12,24,19,32,152,44,11,5,0,0
222,1,72,17,29,18,49,190,72,23,8,1,1
223,0,33,6,15,9,21,87,40,7,9,0,0
224,1,60,8,48,15,37,176,79,9,19,0,1
225,0,61,15,22,31,24,159,53,9,6,1,0
226,1,84,27,37,10,41,232,66,16,8,1,1
227,0,37,11,23,10,22,108,30,4,3,0,0
228,0,75,19,34,6,40,203,48,14,4,1,1
229,1,51,9,10,12,32,121,35,5,3,0,0
230,0,46,9,8,11,23,109,23,8,6,0,0
231,1,42,18,19,9,27,121,27,7,7,1,1
232,0,72,28,26,12,32,198,74,6,12,1,1
233,1,37,14,18,14,19,106,42,9,3,0,0
234,1,58,14,20,11,47,150,51,16,19,0,1
235,0,65,23,11,16,50,164,62,15,14,1,0
236,0,39,13,15,10,27,106,30,6,4,0,0
237,1,76,8,37,14,35,197,53,10,15,1,1
238,1,71,14,13,16,56,169,63,11,9,1,1
239,0,53,11,35,14,35,152,52,18,4,0,0
240,0,43,10,23,13,18,119,36,12,9,0,0
241,1,48,9,20,20,20,125,39,10,10,1,1
242,0,40,10,14,14,21,104,39,7,6,0,0
243,1,77,36,40,19,49,230,79,17,6,1,1
244,0,32,11,11,4,23,86,32,3,5,0,0
245,1,53,9,29,12,32,144,57,12,13,1,1
246,1,51,21,25,20,24,148,50,7,11,0,0
247,0,56,14,31,23,15,157,60,5,17,1,1
248,0,64,19,41,28,26,188,72,13,8,1,1
249,1,47,20,22,12,26,136,65,5,1,0,0
250,1,41,6,25,17,18,113,31,10,5,0,1
251,0,45,7,3,17,26,100,30,5,5,1,0
252,0,37,4,16,11,21,94,35,14,5,0,0
253,1,61,38,32,13,33,192,71,23,10,1,1
254,0,36,12,26,13,27,110,29,10,2,1,0
255,1,40,14,21,9,25,115,36,13,6,0,1
256,1,90,36,27,20,45,243,60,11,7,1,1
257,0,50,12,10,10,31,122,29,10,6,0,0
258,0,42,7,17,6,22,108,28,9,6,0,0
259,1,74,26,25,10,52,199,60,12,7,1,1
260,1,79,23,44,10,44,225,58,20,14,1,1
261,0,39,14,23,21,24,115,36,1,8,0,0
262,0,69,16,24,22,58,178,68,10,13,0,0
263,1,86,24,30,14,52,226,72,12,16,1,1
264,1,62,18,21,23,36,163,70,9,7,1,0
265,0,34,6,24,15,22,98,38,9,10,0,0
266,1,36,8,28,9,20,108,36,11,2,1,0
267,0,31,9,16,17,19,87,35,11,8,0,0
268,1,85,19,30,8,49,219,78,18,6,0,0
269,0,81,31,20,9,57,213,55,19,8,1,1
270,1,82,15,5,14,52,184,51,10,4,1,1
271,0,57,23,7,7,37,144,37,7,12,0,0
272,0,38,14,16,6,22,106,25,9,1,0,0
273,1,78,18,15,15,51,189,65,14,8,1,1
274,0,58,12,20,6,35,148,51,7,2,1,0
275,1,52,19,15,5,37,138,37,8,7,0,1
276,0,42,11,18,11,21,113,37,11,8,0,0
277,1,75,17,31,26,30,198,66,16,14,1,1
278,1,65,22,32,19,41,184,57,7,7,1,0
279,0,64,21,39,19,39,188,61,3,9,0,1
280,0,39,16,20,12,25,114,27,9,5,1,0
281,1,45,15,15,11,25,120,34,7,6,0,1
282,0,45,10,8,8,23,108,36,8,2,0,0
283,1,54,23,38,5,49,169,57,4,3,1,1
284,1,55,16,41,32,45,167,76,15,8,0,0
285,0,68,22,18,10,50,176,66,18,16,1,1
286,1,71,22,40,9,27,204,59,13,10,1,1
287,0,41,14,20,12,26,116,34,8,3,0,0
288,1,44,11,14,9,32,113,38,7,5,1,1
289,0,42,12,13,7,29,109,35,4,4,0,0
290,1,41,14,24,9,22,120,37,9,2,1,1
291,0,36,10,20,13,27,102,25,12,1,0,0
292,1,44,15,22,10,30,125,35,1,5,0,0
293,0,71,16,29,24,47,187,38,10,9,1,1
294,1,74,12,20,15,35,180,63,10,5,0,0
295,0,49,11,40,17,35,149,55,17,8,0,1
296,0,34,15,25,8,27,108,24,9,9,0,0
297,1,71,24,38,13,60,204,52,11,1,1,1
298,0,38,5,16,9,13,97,36,10,0,0,0
299,1,61,13,12,18,36,147,52,12,12,1,1
300,1,91,19,21,13,63,222,64,8,7,1,1
301,0,43,16,13,6,32,115,33,3,4,0,0
302,0,57,12,27,12,22,153,46,4,6,1,1
303,1,38,11,20,11,24,107,35,9,5,0,0
304,0,52,15,25,11,22,144,38,5,9,0,0
305,1,62,8,43,14,24,175,47,10,5,1,1
306,1,86,26,44,16,57,242,58,8,9,1,1
307,0,50,11,22,9,28,133,27,5,4,0,0
308,0,43,16,15,7,27,117,27,8,5,0,0
309,1,48,17,6,11,32,119,34,9,5,1,1
310,1,54,26,41,15,20,175,65,13,10,0,1
311,0,67,19,13,19,29,166,71,6,5,1,0
312,0,36,9,13,10,29,94,23,8,7,0,0
313,1,86,18,26,21,58,216,63,13,9,1,1
314,1,45,11,28,13,25,129,37,11,4,1,1
315,0,44,3,23,10,24,114,34,4,4,0,0
316,1,49,14,34,10,34,146,47,10,2,0,0
317,0,67,15,17,13,45,166,71,10,10,1,1
318,0,60,24,20,18,32,164,47,5,9,0,0
319,1,84,28,32,28,40,228,72,8,18,1,1
320,0,36,8,17,11,18,97,30,14,2,0,0
321,1,78,21,20,6,59,197,63,18,11,1,1
322,0,44,12,19,10,20,119,50,4,2,0,0
323,1,65,17,8,23,36,155,74,7,6,1,1
324,0,38,18,21,10,25,115,35,14,1,0,0
325,1,74,11,67,27,41,226,78,17,7,1,1
326,0,77,22,45,8,47,221,51,9,6,1,1
327,1,47,18,20,18,26,132,33,11,5,0,0
328,0,62,15,42,19,37,181,60,15,14,1,1
329,1,42,13,9,15,20,106,38,6,2,0,0
330,0,40,8,24,15,25,112,34,15,5,0,1
331,1,41,15,31,7,32,128,32,6,2,1,0
332,1,43,13,10,14,22,109,27,10,3,0,0
333,0,40,15,11,7,25,106,35,3,3,1,0
334,1,63,23,30,17,39,179,55,23,6,1,1
335,0,34,5,27,12,17,100,43,8,4,0,0
336,1,63,26,44,17,18,196,62,20,5,1,1
337,0,57,14,28,9,38,156,48,2,3,0,0
338,1,67,22,40,17,39,196,55,21,12,1,1
339,0,36,16,9,10,24,97,33,7,0,0,0
340,1,43,10,11,9,25,107,37,6,5,0,0
341,0,50,13,39,9,29,152,56,8,7,1,1
342,0,42,11,21,9,26,116,34,6,5,0,0
343,1,54,10,19,13,38,137,38,10,5,1,1
344,1,76,20,67,8,36,239,56,13,4,0,1
345,0,71,24,23,16,38,189,45,9,0,1,0
346,1,55,20,42,15,31,172,41,9,5,1,1
347,0,45,13,6,8,23,109,33,8,8,0,0
348,1,54,15,33,7,43,156,47,15,10,1,1
349,0,32,9,38,17,15,111,39,8,2,0,0
350,1,71,18,52,24,46,212,83,13,8,1,1
351,0,74,34,22,14,42,204,70,14,4,0,0
352,0,44,16,10,18,25,114,52,10,10,0,0
353,1,74,19,8,13,42,175,79,10,11,1,1
354,0,34,6,27,14,19,101,24,11,10,0,0
355,1,75,26,60,18,50,236,62,16,15,1,1
356,1,78,15,21,14,47,192,60,23,6,1,1
357,0,37,16,4,7,23,94,24,10,2,0,0
358,1,84,37,36,23,29,241,43,13,5,1,1
359,0,38,12,17,13,23,105,33,7,5,0,0
360,1,36,17,14,12,22,103,30,5,3,0,0
361,0,39,6,18,13,22,102,35,5,1,1,0
362,1,68,21,32,13,32,189,57,3,7,1,0
363,0,41,5,29,7,25,116,36,8,7,0,0
364,0,34,6,21,11,14,95,31,9,5,0,0
365,1,74,15,22,6,49,185,67,10,18,1,1
366,0,37,8,19,9,16,101,28,11,2,0,0
367,1,87,28,23,16,49,225,57,17,26,1,1
368,1,83,29,27,9,54,222,53,19,18,1,1
369,0,39,16,20,9,29,114,36,4,3,0,0
370,0,37,7,19,9,23,100,34,7,3,0,0
371,1,37,18,16,11,24,108,37,3,5,1,1
372,1,62,23,39,11,37,186,51,10,4,1,1
373,0,46,19,10,9,31,121,29,7,2,0,0
374,0,56,20,26,14,42,158,57,13,5,1,1
375,1,38,14,10,10,22,100,35,8,7,0,0
376,0,38,14,19,4,22,109,48,2,10,0,0
377,1,60,21,24,20,30,165,63,8,8,1,1
378,0,39,12,11,13,25,101,37,6,6,0,0
379,1,65,24,36,14,45,190,66,22,12,1,1
380,1,78,33,32,18,54,221,59,7,6,1,1
381,0,44,8,14,17,18,110,31,6,2,0,0
382,1,72,31,30,26,37,205,55,15,13,1,1
383,0,60,18,21,14,35,159,50,10,7,0,0
384,1,52,19,14,14,37,137,61,12,6,1,0
385,0,46,14,49,18,26,155,58,22,7,0,1
386,0,36,17,16,10,18,105,31,2,1,0,0
387,1,44,8,27,19,17,123,28,8,10,1,1
388,1,64,23,26,19,38,177,61,21,8,1,1
389,0,33,10,9,8,22,85,37,7,6,0,0
390,0,33,15,15,9,26,96,28,3,8,0,0
391,1,99,40,24,32,80,262,70,25,4,1,1
392,1,41,14,16,5,22,112,46,6,10,0,0
393,0,49,18,26,16,30,142,60,8,7,1,1
394,1,80,27,21,24,48,208,60,17,12,1,1
395,0,63,15,40,14,39,181,54,20,4,0,0
396,1,43,9,19,11,33,114,40,5,10,1,1
397,0,36,9,14,7,26,95,30,6,4,0,0
398,1,41,13,20,16,24,115,37,10,5,0,0
399,0,66,27,14,17,31,173,58,7,7,1,1
400,0,38,12,28,14,24,116,25,11,4,0,0
401,1,42,13,23,8,28,120,35,7,7,1,1
402,0,44,14,25,9,27,127,34,8,2,0,0
403,1,81,30,46,13,44,238,64,10,13,1,1
404,1,42,13,20,18,25,117,50,14,2,1,1
405,0,30,11,20,8,17,91,33,8,3,0,0
406,1,39,14,17,12,25,109,43,9,7,1,1
407,0,28,8,25,12,23,89,34,6,8,0,0
408,1,82,36,32,14,58,232,68,12,11,1,1
409,0,35,8,16,9,18,94,25,7,5,0,0
410,1,65,14,13,20,49,157,47,25,8,1,1
411,0,49,22,31,13,31,151,47,16,4,0,0
412,0,68,21,18,24,43,175,51,17,4,0,0
413,1,73,33,21,23,47,200,69,20,14,1,1
414,0,37,12,14,10,19,100,24,13,2,0,0
415,1,78,36,41,17,48,233,50,15,10,1,1
416,0,35,14,11,12,13,95,39,5,9,0,0
417,1,47,20,24,19,31,138,55,12,7,1,1
418,0,40,13,11,7,17,104,35,8,6,0,0
419,1,57,21,22,14,38,157,50,9,7,1,1
420,0,59,15,30,19,35,163,36,15,9,0,0
421,1,89,17,28,20,52,223,74,10,10,1,1
422,0,49,12,22,12,32,132,29,8,8,0,1
423,1,54,18,12,6,37,138,32,4,3,1,0
424,1,92,29,38,32,58,251,74,12,4,1,1
425,0,78,28,19,13,49,203,45,8,16,0,0
426,1,47,16,14,8,28,124,36,8,6,0,1
427,0,40,13,28,9,28,121,29,10,3,0,0
428,1,57,21,31,16,28,166,45,12,5,1,1
429,0,39,4,15,7,26,97,26,8,2,0,0
430,0,41,10,16,14,23,108,27,11,3,0,0
431,1,71,25,46,16,63,213,58,20,4,1,1
432,0,37,12,15,8,23,101,26,3,3,0,0
433,1,99,38,13,17,51,249,68,14,13,1,1
434,0,59,14,37,7,37,169,60,19,7,1,0
435,1,62,11,18,19,33,153,60,10,9,0,0
436,0,38,10,17,10,26,103,24,12,2,0,0
437,1,49,17,13,12,30,128,30,13,10,1,1
438,0,59,27,46,15,38,191,46,19,2,1,0
439,1,74,24,36,14,46,208,63,16,5,0,1
440,1,83,32,46,19,59,244,63,12,11,1,1
441,0,84,22,29,10,48,219,55,16,6,0,0
442,1,73,17,19,19,45,182,55,13,6,1,1
443,0,43,6,12,3,21,104,29,6,3,0,0
444,0,43,12,11,6,28,109,31,11,3,0,0
445,1,63,21,16,9,36,163,53,5,10,1,1
446,0,48,14,8,7,24,118,37,9,5,0,1
447,1,48,14,15,6,34,125,35,10,3,0,0
448,0,47,14,8,8,32,116,30,9,7,0,0
449,1,80,26,52,24,44,238,60,10,10,1,1
450,1,43,22,8,13,27,116,26,12,3,1,0
451,0,44,12,15,10,26,115,33,5,7,0,1
452,1,37,10,26,9,19,110,43,9,2,0,0
453,0,58,20,16,7,29,152,41,10,9,1,1
454,1,56,15,19,7,41,146,48,9,7,0,1
455,0,68,19,8,10,38,163,35,16,5,1,0
456,1,68,24,36,19,32,196,51,22,14,1,1
457,0,43,14,8,12,28,108,35,12,3,0,0
458,0,37,10,6,6,22,90,34,7,3,0,0
459,1,72,21,17,15,43,182,72,19,9,1,1
460,0,38,12,10,9,26,98,48,2,10,1,1
461,1,33,10,24,12,22,100,44,9,3,0,0
462,0,40,15,9,10,30,104,27,12,3,1,0
463,1,40,12,19,9,26,111,38,7,3,0,0
464,0,53,11,40,15,19,157,44,11,7,0,0
465,1,70,25,25,10,40,190,56,16,2,1,1
466,0,42,17,19,9,21,120,29,7,6,0,0
467,1,62,25,39,8,44,188,66,3,6,1,0
468,1,68,21,29,28,33,186,49,5,4,1,1
469,0,41,12,10,7,25,104,29,4,2,0,0
470,1,96,34,43,23,54,269,65,17,8,1,1
471,0,70,17,36,20,43,193,59,9,4,0,0
472,1,75,31,41,22,47,222,63,7,8,1,1
473,0,43,13,10,12,26,109,33,1,6,0,0
474,1,41,22,29,7,22,133,32,9,1,1,0
475,0,37,18,9,9,22,101,34,6,4,0,1
476,1,39,11,24,6,22,113,33,9,5,0,1
477,0,42,13,9,12,29,106,33,5,2,1,0
478,0,41,10,21,9,26,113,33,6,4,0,0
479,1,41,15,28,14,27,125,33,10,6,1,1
480,1,66,13,35,16,35,180,43,16,5,1,1
481,0,37,18,10,8,28,102,28,3,8,0,0
482,0,36,9,13,8,24,94,29,8,4,0,0
483,1,73,14,22,17,30,182,66,12,8,1,1
484,1,58,16,10,12,34,142,50,11,11,1,1
485,0,40,13,13,12,24,106,33,5,4,0,0
486,1,34,14,21,9,23,103,40,6,5,0,0
487,0,54,12,29,12,21,149,45,13,7,1,1
488,0,37,9,14,9,27,97,32,10,7,0,0
489,1,67,18,16,14,42,168,61,10,23,1,1
490,1,79,28,7,15,45,193,53,7,6,1,1
491,0,46,13,9,8,30,114,32,6,5,0,0
492,0,36,9,19,10,25,100,25,11,0,0,0
493,1,71,22,44,11,57,208,62,16,5,1,1
494,1,83,25,44,30,40,235,60,11,8,1,1
495,0,68,34,17,5,44,187,57,7,8,0,0
496,1,75,22,24,19,53,196,51,11,11,1,1
497,0,41,10,12,9,23,104,32,4,5,0,0
498,0,66,29,16,21,34,177,57,10,6,0,0
499,1,76,22,28,16,54,202,64,10,10,1,1
500,0,49,19,51,18,26,168,68,20,4,0,0
501,1,72,22,35,24,40,201,66,21,6,1,1
502,1,75,8,29,16,40,187,62,15,10,1,1
503,0,40,10,14,5,26,104,31,9,3,0,0
504,1,66,20,33,27,38,185,61,14,8,1,1
505,0,59,32,9,12,37,159,35,7,10,0,0
506,1,39,7,17,10,27,102,31,3,7,1,1
507,0,41,10,9,9,23,101,37,2,2,0,0
508,0,37,11,19,12,20,104,37,5,0,0,0
509,1,75,18,25,8,32,193,45,18,8,1,1
510,0,34,10,12,14,20,90,28,14,4,0,0
511,1,37,11,19,13,31,104,41,12,9,1,1
512,1,60,28,46,14,29,194,52,19,3,1,0
513,0,62,25,33,12,39,182,53,14,6,0,1
514,1,78,12,18,13,37,186,41,13,4,1,1
515,0,54,15,24,10,28,147,38,12,3,0,0
516,1,71,27,34,20,59,203,51,21,8,1,1
517,0,43,11,22,13,26,119,35,9,3,0,0
518,0,38,11,15,14,22,102,35,4,5,0,0
519,1,80,17,32,18,48,209,70,12,20,1,1
520,1,84,16,36,13,43,220,52,16,12,1,1
521,0,34,17,25,13,20,110,29,7,4,0,0
522,1,57,9,28,8,34,151,61,14,17,1,1
523,0,39,9,4,8,22,91,34,9,3,0,0
524,0,48,15,21,12,29,132,28,7,6,0,0
525,1,51,19,19,4,32,140,30,9,5,1,1
526,0,70,21,54,14,33,215,52,7,3,1,1
527,1,81,19,35,13,32,216,65,3,1,0,0
528,1,37,18,21,7,28,113,46,4,6,1,0
529,0,41,5,14,8,25,101,38,4,8,0,0
530,0,33,12,20,15,19,98,30,6,4,0,0
531,1,90,42,26,34,49,248,68,11,8,1,1
532,0,67,17,28,23,24,179,54,20,12,1,1
533,1,53,23,11,15,43,140,47,13,8,0,0
534,0,44,17,5,8,32,110,33,7,1,0,0
