,outcome,sumfg,sumfg3,sumft,sumorb,sumast,sumpts,sumdrb,sumstl,sumblk,Offensive Effort,Defensive Effort
2932,1,77,30,30,17,33,214,47,14,1,0,0
2933,0,68,24,31,17,44,191,62,9,5,0,1
2934,1,69,25,39,14,52,202,67,16,14,1,1
2935,0,45,14,35,15,29,139,35,10,10,0,0
2936,1,41,16,8,10,27,106,33,10,4,1,0
2937,0,39,13,12,8,28,103,36,10,7,0,1
2938,0,46,9,18,10,27,119,30,9,5,0,1
2939,1,42,11,28,10,27,123,39,5,2,0,0
2940,0,34,7,17,17,20,92,28,8,6,0,0
2941,1,72,18,21,20,42,183,66,13,6,1,1
2942,1,73,38,55,5,60,239,65,1,16,1,1
2943,0,41,13,26,14,24,121,24,9,5,0,0
2944,0,39,6,15,8,21,99,32,4,1,0,0
2945,1,84,30,26,10,47,224,64,15,3,1,1
2946,1,88,42,50,30,54,268,64,10,0,1,0
2947,0,46,20,20,6,27,132,34,11,4,0,1
2948,0,38,12,18,6,21,106,40,5,6,0,0
2949,1,37,8,29,7,22,111,37,6,7,1,1
2950,0,45,16,23,9,31,129,26,13,4,0,0
2951,1,98,16,43,18,63,255,59,22,9,1,1
2952,0,66,23,24,18,49,179,53,9,9,1,1
2953,1,45,15,13,8,27,118,34,3,9,0,0
2954,1,78,24,12,14,34,192,65,8,8,0,0
2955,0,53,24,12,16,20,142,50,10,14,0,1
2956,0,47,12,12,13,27,118,27,12,3,1,1
2957,1,46,12,16,8,25,120,35,8,1,0,0
2958,1,47,15,9,11,28,118,36,6,10,1,1
2959,0,37,6,12,15,17,92,32,5,10,0,0
2960,0,74,30,26,12,37,204,42,10,3,0,0
2961,1,76,19,23,20,45,194,61,19,7,1,1
2962,0,87,25,22,22,58,221,62,6,17,1,1
2963,1,44,14,17,10,30,119,35,5,7,0,0
2964,1,42,15,20,18,21,119,41,6,6,0,0
2965,0,57,18,34,19,33,166,56,10,8,1,1
2966,0,37,8,13,8,23,95,37,9,6,0,1
2967,1,62,23,26,27,43,173,72,4,5,1,0
2968,0,69,15,26,23,32,179,56,14,8,1,1
2969,1,46,10,11,11,25,113,41,5,4,0,0
2970,1,68,20,31,11,45,187,68,11,2,1,0
2971,0,62,29,15,15,36,168,51,16,2,0,0
2972,0,53,26,13,21,34,145,49,11,3,0,0
2973,1,70,15,21,17,46,176,71,7,7,1,1
2974,0,36,9,20,10,23,101,40,6,3,0,0
2975,1,60,12,47,13,34,179,53,12,5,1,1
2976,1,44,19,12,11,28,119,40,5,6,1,1
2977,0,35,13,11,8,20,94,31,9,4,0,0
2978,1,90,24,50,20,60,254,76,8,12,1,1
2979,0,42,18,20,7,27,122,34,9,5,0,0
2980,0,77,28,28,15,38,210,51,9,8,0,0
